Years,Coal_prod,Oil_prod,Gas_prod,Renewable_en_prod,Total_en_prod,Total_en_consumption,Sub_type,State
1960,26409,5379378,6602696,50155,12058639,4416216,Actual,
1961,26535,5447308,6682140,52023,12208006,4447880,Actual,
1962,25855,5471272,6812787,47721,12357635,4640675,Actual,
1963,27441,5671135,6952455,42718,12693749,4894089,Actual,
1964,28839,5739216,7311876,43884,13123816,5012683,Actual,
1965,30349,5804308,7436127,48967,13319750,5212184,Actual,
1966,28360,6127692,7746648,51980,13954680,5557255,Actual,
1967,27102,6480449,7934585,49944,14492080,5879030,Actual,
1968,28839,6555601,8271293,62939,14918671,6268911,Actual,
1969,28310,6664147,8654795,64351,15411603,6656323,Actual,
1970,29078,7235420,9213703,62757,16540958,6921781,Actual,
1971,28360,7083023,9438928,60471,16610783,7233774,Actual,
1972,50918,7539574,9550844,67560,17208895,7623194,Actual,
1973,97216,7499885,9375616,78102,17050819,8241366,Actual,
1974,107576,7312336,9006053,76691,16502656,8093721,Actual,
1975,144160,7081272,8282525,75872,15583828,7511439,Actual,
1976,182651,6891268,7974291,75965,15124174,7835920,Actual,
1977,209460,6594513,7830026,82566,14716565,8475779,Actual,
1978,265268,6217629,7085791,84175,13652863,8941144,Actual,
1979,356524,5885352,7409524,89721,13741121,9308055,Actual,
1980,385041,5615319,7228720,65819,13294899,9385670,Actual,
1981,418838,5407630,6967250,70520,12864237,9147556,Actual,
1982,448801,5267659,6380060,80452,12176971,8471394,Actual,
1983,493048,5120884,5834372,75817,11524121,8406461,Actual,
1984,515269,5122409,6098210,87064,11822952,8946242,Actual,
1985,574734,5041464,6038458,93532,11748188,9011817,Actual,
1986,615490,4753651,5902400,110360,11381901,9007599,Actual,
1987,640051,4413580,5671833,116905,10842369,9240071,Actual,
1988,658102,4265871,5787320,108936,10860430,9811771,Actual,
1989,675280,3991380,5638965,125459,10536806,10093725,Actual,
1990,706720,3935172,5653163,115294,10578173,10272320,Actual,
1991,674067,3959173,5644617,120330,10605768,10278273,Actual,
1992,685491,3773613,5611228,133852,10460686,10445158,Actual,
1993,682967,3590722,5727099,117228,10248337,10554352,Actual,
1994,660044,3426263,5825006,114097,10325858,10879574,Actual,
1995,664511,3245947,5822544,117889,10230734,11070854,Actual,
1996,709509,3151384,5898493,110535,10245577,11832246,Actual,
1997,687914,3112187,5883165,122666,10197964,12237335,Actual,
1998,677016,2927040,6002817,110071,10122789,12418135,Actual,
1999,671989,2605551,5767547,93994,9523222,12077034,Actual,
2000,632360,2571703,5989538,96071,9681342,12420851,Actual,
2001,578696,2460923,5971835,96535,9506522,12200928,Actual,
2002,581168,2353501,5844637,121028,9272256,12508396,Actual,
2003,594734,2323851,5902223,115457,9284751,12295541,Actual,
2004,572489,2277741,5764490,120813,9157192,12333678,Actual,
2005,595612,2277086,5973867,137517,9383076,11858030,Actual,
2006,593496,2276390,6249274,152232,9701985,11864993,Actual,
2007,554720,2269314,6850716,191764,10296092,11774259,Actual,
2008,515493,2354440,7711507,298470,11305593,11251973,Actual,
2009,455507,2315986,7572107,295329,11072953,10883320,Actual,
2010,538258,2474970,7549424,392977,11387664,11681851,Actual,
2011,605290,3071054,8014144,440763,12546132,11885388,Actual,
2012,578697,4201648,8523892,452930,14159990,11944734,Actual,
2013,564850,5379019,8825436,476268,15645926,12723430,Actual,
2014,576803,6715919,9366356,529818,17599803,12733681,Actual,
2015,471257,7186120,9392314,567922,18029185,12886742,Actual,
2016,515707,6655905,8659988,691225,16962933,13089570,Actual,
2017,474274,7282947,8626259,786173,17573176,13365864,Actual,
2018,525936.532,7048917.446,9450834.882,790577.4832,18170167.33,12833600.18,Predicted,
2019,529517.9981,6942772.252,9733669.698,849590.8404,18029690.54,12852128.71,Predicted,
2020,528477.5144,6644353.158,9778952.273,894341.9391,18057921.7,12729009.55,Predicted,
2021,534160.3225,6317016.959,9798285.425,940458.2441,17907936.34,12798825.72,Predicted,
2022,526339.7836,5895113.843,9942967.997,1005730.865,17647836.46,12669489.85,Predicted,
2023,526292.7186,5429688.369,10301225.4,1019013.621,17326647.16,12460054.14,Predicted,
2024,520650.1296,5306444.343,10779144.9,1051943.153,16799567.03,12258208.22,Predicted,
2025,545862.6066,5076688.845,10917360.54,1075036.712,16359032.8,12162773.03,Predicted,
2026,548334.3566,4875403.755,10767556.09,1091716.619,16217620.54,11943806.87,Predicted,
2027,542657.7423,4813744.361,10628705.49,1113887.308,16006734.55,11702106.01,Predicted,
2028,552439.9765,4513894.867,10655892.88,1142477.054,15765621.66,11662489.51,Predicted,
2029,550816.0493,3994681.361,10684600.96,1176227.27,15635588.91,11752740.19,Predicted,
2030,555931.0615,3450495.933,10588559.83,1226906.877,15277264.32,11608482.92,Predicted,
2031,552901.9881,2410502.933,10308730.23,1254266.661,15051815.37,11707857.57,Predicted,
2032,554056.2837,1314187.405,9977106.043,1284224.982,14839112.91,11844610.93,Predicted,
2033,565227.5682,98015.41088,9572787.404,1311012.769,14443896.28,11892254.11,Predicted,
2034,566055.9129,-616920.5357,9288825.69,1342038.333,14270154.57,11951870.36,Predicted,
2035,554301.1442,-1115410.284,9217329.284,1370891.301,14475529.29,12270022.86,Predicted,
2036,561126.4714,-1430367.798,9020258.736,1399480.87,14693895.32,12360605.34,Predicted,
2037,565876.8213,-1512144.519,8601726.478,1423545.069,14738656.62,12414414.56,Predicted,
2038,575348.6707,-1502456.061,8024796.316,1449202.422,14591703.46,12609561,Predicted,
2039,584618.2424,-1265478.04,7486053.426,1460861.802,14317147.45,12628284.23,Predicted,
2040,571297.1247,-1078993.593,7145516.671,1472382.658,14291718.47,12481078.1,Predicted,
